['AOS', 'A. O. Smith', 'Industrials']
['ABMD', 'Abiomed', 'Health Care']
['AKAM', 'Akamai Technologies', 'Information Technology']
['ALK', 'Alaska Air Group', 'Industrials']
['ALGN', 'Align Technology', 'Health Care']
['GOOGL', 'Alphabet (Class A)', 'Communication Services']
['AEP', 'American Electric Power', 'Utilities']
['ANSS', 'Ansys', 'Information Technology']
['ANTM', 'Anthem', 'Health Care']
['APTV', 'Aptiv', 'Consumer Discretionary']
['ANET', 'Arista Networks', 'Information Technology']
['AIZ', 'Assurant', 'Financials']
['ADP', 'Automatic Data Processing', 'Information Technology']
['BBWI', 'Bath & Body Works Inc.', 'Consumer Discretionary']
['TECH', 'Bio-Techne', 'Health Care']
['AVGO', 'Broadcom', 'Information Technology']
['BR', 'Broadridge Financial Solutions', 'Information Technology']
['CZR', 'Caesars Entertainment', 'Consumer Discretionary']
['KMX', 'CarMax', 'Consumer Discretionary']
['CARR', 'Carrier Global', 'Industrials']
['CTLT', 'Catalent', 'Health Care']
['CE', 'Celanese', 'Materials']
['CERN', 'Cerner', 'Health Care']
