['FOXA', 'Fox Corporation (Class A)', 'Communication Services']
['FOX', 'Fox Corporation (Class B)', 'Communication Services']
['FCX', 'Freeport-McMoRan', 'Materials']
['GRMN', 'Garmin', 'Consumer Discretionary']
['IT', 'Gartner', 'Information Technology']
['GNRC', 'Generac Holdings', 'Industrials']
['GPC', 'Genuine Parts', 'Consumer Discretionary']
['HSIC', 'Henry Schein', 'Health Care']
['HLT', 'Hilton Worldwide', 'Consumer Discretionary']
['HST', 'Host Hotels & Resorts', 'Real Estate']
['IDXX', 'Idexx Laboratories', 'Health Care']
['INFO', 'IHS Markit', 'Industrials']
['ITW', 'Illinois Tool Works', 'Industrials']
['INCY', 'Incyte', 'Health Care']
['IR', 'Ingersoll Rand', 'Industrials']
['ISRG', 'Intuitive Surgical', 'Health Care']
['IPGP', 'IPG Photonics', 'Information Technology']
['IQV', 'IQVIA', 'Health Care']
['JKHY', 'Jack Henry & Associates', 'Information Technology']
['J', 'Jacobs Engineering Group', 'Industrials']
['JCI', 'Johnson Controls', 'Industrials']
['KEY', 'KeyCorp', 'Financials']
['KEYS', 'Keysight Technologies', 'Information Technology']
['KHC', 'Kraft Heinz', 'Consumer Staples']
['LUMN', 'Lumen Technologies', 'Communication Services']
['LYB', 'LyondellBasell', 'Materials']
['MKTX', 'MarketAxess', 'Financials']
