['ROL', 'Rollins', 'Industrials']
['SPGI', 'S&P Global', 'Financials']
['SPG', 'Simon Property Group', 'Real Estate']
['STE', 'Steris', 'Health Care']
['SYF', 'Synchrony Financial', 'Financials']
['SNPS', 'Synopsys', 'Information Technology']
['TMUS', 'T-Mobile US', 'Communication Services']
['TROW', 'T. Rowe Price', 'Financials']
['TPR', 'Tapestry', 'Consumer Discretionary']
['TEL', 'TE Connectivity', 'Information Technology']
['TER', 'Teradyne', 'Information Technology']
['COO', 'The Cooper Companies', 'Health Care']
['TT', 'Trane Technologies', 'Industrials']
['TDG', 'TransDigm Group', 'Industrials']
['TWTR', 'Twitter', 'Communication Services']
['TYL', 'Tyler Technologies', 'Information Technology']
['ULTA', 'Ulta Beauty', 'Consumer Discretionary']
['UAA', 'Under Armour (Class A)', 'Consumer Discretionary']
['VRTX', 'Vertex Pharmaceuticals', 'Health Care']
['VIAC', 'ViacomCBS', 'Communication Services']
['WM', 'Waste Management', 'Industrials']
['WAT', 'Waters Corporation', 'Health Care']
['WST', 'West Pharmaceutical Services', 'Health Care']
['WRK', 'WestRock', 'Materials']
['WLTW', 'Willis Towers Watson', 'Financials']
['WYNN', 'Wynn Resorts', 'Consumer Discretionary']
['XYL', 'Xylem', 'Industrials']
